Paper_Author,Year,Algorithm,Device_Platform,CPU_Type,CPU_Freq_MHz,RAM_KB,Flash_KB,Data_Size_Bytes,Key_Size_Bits,Exec_Time_ms,Throughput_Kbps,Memory_Used_Bytes,Energy_mJ,Notes,Algorithm_Clean,is_fpga,is_8bit,is_32bit,is_asic,is_desktop,log_cpu_freq,is_low_memory,key_data_ratio,freq_per_kb_ram
Diehl et al.,2017,AES-128,Kintex-7 FPGA,FPGA,287.0,0.383,,128,128,,119000.0,318.0,0.000914,Hardware implementation,AES-128,1,0,0,0,0,5.662960480135946,1,0.125,747.3958333333334
Diehl et al.,2017,SIMON,Kintex-7 FPGA,FPGA,564.0,0.383,,96,96,,1041000.0,435.0,0.000142,SIMON 96/96 hardware,SIMON,1,0,0,0,0,6.336825731146441,1,0.125,1468.75
Diehl et al.,2017,SPECK,Kintex-7 FPGA,FPGA,473.0,0.383,,96,96,,1622000.0,452.0,8e-05,SPECK 96/96 - highest throughput,SPECK,1,0,0,0,0,6.161207321695077,1,0.125,1231.7708333333333
Diehl et al.,2017,PRESENT,Kintex-7 FPGA,FPGA,542.0,0.383,,64,80,,1084000.0,311.0,0.000114,PRESENT-80 hardware,PRESENT,1,0,0,0,0,6.297109319933935,1,0.15625,1411.4583333333333
Diehl et al.,2017,AES-128,8-bit processor,Custom 8-bit,280.0,0.708,,128,128,14.36,2501.0,708.0,0.046,Software - 898 cycles/byte,AES-128,0,1,0,0,0,5.638354669333745,1,0.125,394.92242595204516
Diehl et al.,2017,SIMON,8-bit processor,Custom 8-bit,265.0,0.317,,96,96,58.234,437.0,317.0,0.2631,Software - 4853 cycles/byte,SIMON,0,1,0,0,0,5.583496308781699,1,0.125,833.3333333333334
Diehl et al.,2017,SPECK,8-bit processor,Custom 8-bit,325.0,0.277,,96,96,29.046,1075.0,277.0,0.0949,Software - 2421 cycles/byte,SPECK,0,1,0,0,0,5.786897381366708,1,0.125,1169.0647482014388
Diehl et al.,2017,PRESENT,8-bit processor,Custom 8-bit,285.0,0.204,,64,80,20.03,911.0,204.0,0.1251,Software - 2504 cycles/byte,PRESENT,0,1,0,0,0,5.655991810819852,1,0.15625,1390.2439024390244
Diehl et al.,2017,AES-128,Kintex-7 FPGA,FPGA,287.0,0.383,,16,128,,119000.0,318.0,,HW area in LUTs,AES-128,1,0,0,0,0,5.662960480135946,1,1.0,747.3958333333334
Diehl et al.,2017,SIMON,Kintex-7 FPGA,FPGA,564.0,0.383,,12,96,,1041000.0,435.0,,HW area in LUTs,SIMON,1,0,0,0,0,6.336825731146441,1,1.0,1468.75
